Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
supply chain management,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
Macroeconomics,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/
Global marketing,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
operations management,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
financial econometrics,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,
e-commerce,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,,,
asset pricing,Weidong Tian,https://pages.charlotte.edu/connections/people/wtian1/,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/
fixed income securities,Tao-Hsien King,https://pages.charlotte.edu/connections/people/tking3/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,
corporate finance,Tao-Hsien King,https://pages.charlotte.edu/connections/people/tking3/,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,
E-business,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,
Tax policy,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
quality control,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
public policy,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Joanne Carman,https://pages.charlotte.edu/connections/people/joanne-carman/,Mary Brown,https://pages.charlotte.edu/connections/people/mary-brown/
manufacturing,Naiquan Zheng,https://pages.charlotte.edu/connections/people/nzheng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/
financial accounting,,,,,,
