College,Topic,Count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
Belk College of Business,supply chain management,4,https:\/\/pages.charlotte.edu\/connections\/links\/supply-chain-management\/,supply chain management,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
Belk College of Business,Macroeconomics,4,https:\/\/pages.charlotte.edu\/connections\/links\/macroeconomics\/,Macroeconomics,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/
Belk College of Business,Global marketing,2,https:\/\/pages.charlotte.edu\/connections\/links\/global-marketing\/,Global marketing,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
Belk College of Business,operations management,2,https:\/\/pages.charlotte.edu\/connections\/links\/operations-management\/,operations management,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
Belk College of Business,financial econometrics,2,https:\/\/pages.charlotte.edu\/connections\/links\/financial-econometrics\/,financial econometrics,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,
Belk College of Business,e-commerce,2,https:\/\/pages.charlotte.edu\/connections\/links\/e-commerce\/,e-commerce,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,,,
Belk College of Business,asset pricing,2,https:\/\/pages.charlotte.edu\/connections\/links\/asset-pricing\/,asset pricing,Weidong Tian,https://pages.charlotte.edu/connections/people/wtian1/,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/
Belk College of Business,fixed income securities,2,https:\/\/pages.charlotte.edu\/connections\/links\/fixed-income-securities\/,fixed income securities,Tao-Hsien King,https://pages.charlotte.edu/connections/people/tking3/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,
Belk College of Business,corporate finance,2,https:\/\/pages.charlotte.edu\/connections\/links\/corporate-finance\/,corporate finance,Tao-Hsien King,https://pages.charlotte.edu/connections/people/tking3/,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,
Belk College of Business,E-business,2,https:\/\/pages.charlotte.edu\/connections\/links\/e-business\/,E-business,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,
